region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,latitude,longitude
huntsville / decatur,33900,2019,gmc,savana,like new,8 cylinders,gas,24585,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,19999,2019,mitsubishi,outlander sport se,excellent,4 cylinders,gas,32000,clean,automatic,4wd,sub-compact,SUV,silver,al,35.0666,-87.0174
huntsville / decatur,34500,2019,ford,transit,like new,6 cylinders,gas,7646,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,32700,2019,ford,transit,like new,6 cylinders,gas,13646,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,32900,2019,ford,transit,like new,6 cylinders,gas,6735,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,34800,2019,ford,transit,like new,6 cylinders,gas,31020,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,39950,2020,jeep,wrangler,like new,4 cylinders,gas,2600,clean,automatic,4wd,compact,SUV,blue,al,34.9186,-87.6136
huntsville / decatur,75500,2020,ram,limited 3500,excellent,6 cylinders,diesel,26100,lien,automatic,4wd,full-size,pickup,white,al,34.7789,-86.5438
huntsville / decatur,48990,2019,nissan,armada,good,8 cylinders,gas,21412,clean,automatic,rwd,full-size,SUV,black,al,34.733208,-87.667996
huntsville / decatur,38300,2020,ford,transit,like new,6 cylinders,gas,7540,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,29600,2019,gmc,savana,like new,8 cylinders,gas,30052,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,36700,2019,ford,transit 250,excellent,6 cylinders,gas,14985,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,37900,2020,chevrolet,silverado 1500,like new,8 cylinders,gas,5622,clean,automatic,rwd,full-size,truck,white,al,36.4641,-86.65828
huntsville / decatur,31900,2019,ford,transit 250,excellent,6 cylinders,gas,29497,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
huntsville / decatur,34800,2019,ford,transit,excellent,6 cylinders,gas,31020,clean,automatic,rwd,full-size,van,white,al,36.4641,-86.65828
mobile,49900,2019,lexus,rx 450h,excellent,6 cylinders,hybrid,1900,clean,automatic,4wd,full-size,SUV,white,al,30.3949,-86.4692
mobile,34500,2019,toyota,highlander,excellent,6 cylinders,gas,37800,clean,automatic,fwd,full-size,SUV,silver,al,30.4752,-87.6992
mobile,17995,2019,mitsubishi,outlander sport,good,4 cylinders,gas,41828,clean,automatic,rwd,full-size,SUV,grey,al,30.803146,-88.140898
mobile,40900,2021,toyota,tacoma 4wd,good,6 cylinders,gas,1582,clean,automatic,4wd,full-size,truck,silver,al,31.316064,-89.437114
montgomery,40900,2021,toyota,tacoma 4wd,good,6 cylinders,gas,1582,clean,automatic,4wd,full-size,truck,silver,al,31.316064,-89.437114
tuscaloosa,104900,2020,bmw,m805i,excellent,8 cylinders,gas,9000,clean,automatic,4wd,full-size,sedan,black,al,33.334119,-87.470436
anchorage / mat-su,44995,2019,chevrolet,traverse,excellent,6 cylinders,gas,17059,clean,automatic,4wd,full-size,SUV,black,ak,61.218392,-149.869008
anchorage / mat-su,43995,2020,toyota,tacoma,excellent,6 cylinders,gas,1514,clean,automatic,4wd,mid-size,truck,grey,ak,61.218361,-149.86918
anchorage / mat-su,26995,2020,kia,sportage ex,excellent,4 cylinders,gas,6837,clean,automatic,4wd,full-size,SUV,blue,ak,61.218268,-149.868987
anchorage / mat-su,41995,2020,subaru,wrx sti,excellent,4 cylinders,gas,1243,clean,manual,4wd,mid-size,sedan,blue,ak,61.218371,-149.869094
anchorage / mat-su,53900,2019,dodge,grand caravan gt,like new,6 cylinders,gas,32957,clean,automatic,fwd,mid-size,van,white,ak,61.6303,-148.9872
anchorage / mat-su,0,2021,chevrolet,traverse,new,6 cylinders,gas,19,clean,automatic,fwd,mid-size,SUV,black,ak,61.6303,-148.9872
anchorage / mat-su,79900,2020,chrysler,pacifica touring l plus,new,6 cylinders,gas,10,clean,automatic,fwd,mid-size,mini-van,silver,ak,61.6303,-148.9872
anchorage / mat-su,46000,2020,ford,f-150,like new,6 cylinders,gas,19000,clean,automatic,4wd,full-size,truck,blue,ak,61.18622,-149.946762
anchorage / mat-su,29500,2019,nissan,frontier,excellent,6 cylinders,gas,23000,clean,automatic,4wd,mid-size,truck,white,ak,61.1194,-149.8974
anchorage / mat-su,65000,2019,ford,f-350,new,8 cylinders,diesel,27000,clean,automatic,4wd,full-size,truck,silver,ak,61.1928,-149.8774
anchorage / mat-su,98750,2019,ford,f350 super duty lariat,like new,8 cylinders,diesel,47100,clean,automatic,4wd,full-size,truck,black,ak,61.19,-149.8938
anchorage / mat-su,19500,2019,chevrolet,impala lt,like new,6 cylinders,gas,30152,clean,automatic,fwd,full-size,sedan,grey,ak,61.222139,-150.009384
anchorage / mat-su,87995,2019,ford,f350 drw,like new,8 cylinders,diesel,21183,clean,automatic,4wd,full-size,truck,grey,ak,61.166252,-149.857916
anchorage / mat-su,44995,2019,toyota,tacoma trd off road 4x4,like new,6 cylinders,gas,21969,clean,automatic,4wd,full-size,truck,grey,ak,61.166252,-149.857916
anchorage / mat-su,54200,2020,chevrolet,silverado 2500hd,like new,8 cylinders,gas,4000,clean,automatic,4wd,full-size,truck,blue,ak,61.6303,-148.9872
anchorage / mat-su,19500,2019,chevrolet,impala lt,like new,6 cylinders,gas,30152,clean,automatic,fwd,full-size,sedan,grey,ak,61.222139,-150.009384
anchorage / mat-su,64000,2021,ford,f250 super duty,like new,8 cylinders,diesel,5000,clean,automatic,4wd,full-size,truck,grey,ak,61.6303,-148.9872
anchorage / mat-su,20900,2019,volkswagen,golf,excellent,4 cylinders,gas,28919,clean,automatic,4wd,full-size,wagon,blue,ak,61.155164,-149.891716
anchorage / mat-su,41500,2020,jeep,wrangler unlimited,excellent,4 cylinders,gas,9864,clean,automatic,4wd,full-size,SUV,red,ak,61.155164,-149.891716
anchorage / mat-su,19900,2019,nissan,rogue sv,excellent,4 cylinders,gas,19291,lien,automatic,4wd,mid-size,SUV,silver,ak,61.188304,-149.907267
